date,David Bellemere,Greg Kadel,Karl Templer,Patrick Demarchelier,Seth Sabal,Nicholas Kettle,Paul Haggis,Terdema Ussery,T.J. Miller,Eric Weinberger,Michael Feinberg,Philip Berk,David Sawyer,John Moore,Jorge Domínguez,Jorge I. Domínguez,Blake Farenthold,Duane Hall,Johnny Iuzzini,Tony Tooke
2018-07-22,0.01,0.0,0.0011200000000000001,0.02,0.0,0.0,0.05714285714285714,0.0,0.04,0.0,0.005600000000000001,0.015151515151515152,0.02016,0.3469387755102041,0.007840000000000001,0.0,0.01,0.0044800000000000005,0.01,0.0
2018-07-29,0.01,0.0011200000000000001,0.0,0.02,0.0,0.0,0.04285714285714286,0.0,0.05,0.01,0.0011200000000000001,0.015151515151515152,0.017920000000000002,0.32653061224489793,0.008960000000000001,0.0,0.0,0.007840000000000001,0.0,0.0
2018-08-05,0.01,0.00336,0.0011200000000000001,0.01,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0011200000000000001,0.015151515151515152,0.028,0.3673469387755102,0.01456,0.0,0.0,0.0011200000000000001,0.01,0.0
2018-08-12,0.02,0.0044800000000000005,0.00336,0.02,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0011200000000000001,0.015151515151515152,0.01008,0.3673469387755102,0.00336,0.0,0.0,0.0,0.0,0.0011200000000000001
2018-08-19,0.0,0.00336,0.00336,0.01,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.007840000000000001,0.030303030303030304,0.01904,0.3469387755102041,0.008960000000000001,0.0,0.02,0.0044800000000000005,0.0,0.0011200000000000001
2018-08-26,0.01,0.00336,0.0,0.02,0.0,0.0,0.05714285714285714,0.0,0.05,0.0,0.007840000000000001,0.015151515151515152,0.022400000000000003,0.4489795918367347,0.00672,0.0,0.0,0.01008,0.0,0.0
2018-09-02,0.01,0.0011200000000000001,0.005600000000000001,0.01,0.0012431999999999999,0.0,0.02857142857142857,0.0,0.03,0.0,0.00336,0.015151515151515152,0.017920000000000002,0.3469387755102041,0.008960000000000001,0.0012431999999999999,0.01,0.00336,0.01,0.0011200000000000001
2018-09-09,0.0,0.00336,0.0,0.03,0.0,0.0,0.02857142857142857,0.0,0.04,0.0,0.0011200000000000001,0.030303030303030304,0.02352,0.3673469387755102,0.008960000000000001,0.0,0.0,0.0044800000000000005,0.0,0.0
2018-09-16,0.01,0.0011200000000000001,0.008960000000000001,0.01,0.0,0.0,0.02857142857142857,0.32926829268292684,0.02,0.0,0.00336,0.030303030303030304,0.01344,0.32653061224489793,0.0044800000000000005,0.0,0.01,0.005600000000000001,0.0,0.0
2018-09-23,0.02,0.0044800000000000005,0.0044800000000000005,0.02,0.0,0.0,0.02857142857142857,0.024390243902439025,0.02,0.0,0.00336,0.015151515151515152,0.011200000000000002,0.3469387755102041,0.01456,0.0,0.01,0.0044800000000000005,0.0,0.0
2018-09-30,0.01,0.0011200000000000001,0.0011200000000000001,0.03,0.0,0.0,0.02857142857142857,0.012195121951219513,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.017920000000000002,0.3673469387755102,0.008960000000000001,0.0,0.0,0.00336,0.0,0.0
2018-10-07,0.02,0.0011200000000000001,0.0,0.02,0.0,0.0,0.02857142857142857,0.024390243902439025,0.03,0.0,0.00336,0.0,0.01456,0.3469387755102041,0.008960000000000001,0.0,0.01,0.0011200000000000001,0.0,0.0
2018-10-14,0.01,0.00336,0.01456,0.01,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.005600000000000001,0.015151515151515152,0.0168,0.32653061224489793,0.0044800000000000005,0.0,0.0,0.00336,0.02,0.0
2018-10-21,0.01,0.0,0.00672,0.02,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.0011200000000000001,0.015151515151515152,0.02016,0.32653061224489793,0.008960000000000001,0.0,0.0,0.0011200000000000001,0.0,0.0
2018-10-28,0.01,0.00336,0.007840000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.0044800000000000005,0.015151515151515152,0.017920000000000002,0.3877551020408163,0.011200000000000002,0.0012431999999999999,0.0,0.008960000000000001,0.0,0.0011200000000000001
2018-11-04,0.02,0.0011200000000000001,0.0,0.02,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.00336,0.015151515151515152,0.01456,0.3673469387755102,0.01008,0.0,0.01,0.005600000000000001,0.01,0.0
2018-11-11,0.02,0.0011200000000000001,0.0044800000000000005,0.02,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.00336,0.015151515151515152,0.01344,0.3469387755102041,0.005600000000000001,0.0,0.0,0.005600000000000001,0.0,0.005600000000000001
2018-11-18,0.02,0.0,0.0044800000000000005,0.01,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.01904,0.2857142857142857,0.01008,0.0,0.0,0.00672,0.0,0.00336
2018-11-25,0.01,0.0,0.0044800000000000005,0.02,0.0,0.0,0.04285714285714286,0.0,0.04,0.0,0.0044800000000000005,0.030303030303030304,0.00672,0.32653061224489793,0.005600000000000001,0.0,0.01,0.00336,0.01,0.0
2018-12-02,0.01,0.0,0.0011200000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.0044800000000000005,0.030303030303030304,0.01344,0.2857142857142857,0.015680000000000003,0.0,0.0,0.00336,0.01,0.0011200000000000001
2018-12-09,0.02,0.0011200000000000001,0.0,0.02,0.0012431999999999999,0.0,0.02857142857142857,0.0,0.03,0.0,0.0011200000000000001,0.015151515151515152,0.01456,0.2857142857142857,0.005600000000000001,0.0,0.01,0.005600000000000001,0.02,0.0
2018-12-16,0.02,0.00336,0.0,0.02,0.0,0.0,0.02857142857142857,0.012195121951219513,0.03,0.0,0.0,0.015151515151515152,0.02128,0.32653061224489793,0.005600000000000001,0.0,0.0,0.00336,0.01,0.0011200000000000001
2018-12-23,0.02,0.00336,0.0,0.02,0.0016576,0.0,0.04285714285714286,0.012195121951219513,0.06,0.0,0.0044800000000000005,0.030303030303030304,0.02016,0.2857142857142857,0.007840000000000001,0.0,0.0,0.00672,0.01,0.0011200000000000001
2018-12-30,0.01,0.0011200000000000001,0.0011200000000000001,0.02,0.0,0.0,0.04285714285714286,0.0,0.05,0.0,0.0,0.030303030303030304,0.028,0.3469387755102041,0.0044800000000000005,0.0,0.0,0.00672,0.0,0.0
2019-01-06,0.01,0.0011200000000000001,0.0011200000000000001,0.01,0.0,0.0,0.05714285714285714,0.0,0.03,0.0,0.0011200000000000001,0.030303030303030304,0.022400000000000003,0.32653061224489793,0.008960000000000001,0.0,0.01,0.0044800000000000005,0.0,0.0
2019-01-13,0.01,0.0011200000000000001,0.0,0.01,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.00336,0.030303030303030304,0.015680000000000003,0.3673469387755102,0.008960000000000001,0.0,0.0,0.0044800000000000005,0.0,0.0
2019-01-20,0.0,0.0,0.0044800000000000005,0.02,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.0011200000000000001,0.015151515151515152,0.0168,0.3673469387755102,0.0044800000000000005,0.0,0.0,0.0011200000000000001,0.01,0.0
2019-01-27,0.01,0.0,0.005600000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.0044800000000000005,0.015151515151515152,0.022400000000000003,0.3673469387755102,0.0168,0.0,0.01,0.00672,0.02,0.0
2019-02-03,0.01,0.0,0.0044800000000000005,0.02,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.005600000000000001,0.030303030303030304,0.012320000000000001,0.6530612244897959,0.01456,0.0,0.0,0.01008,0.0,0.0
2019-02-10,0.01,0.0022400000000000002,0.007840000000000001,0.01,0.0,0.0,0.02857142857142857,0.0,0.02,0.0,0.005600000000000001,0.015151515151515152,0.017920000000000002,0.40816326530612246,0.015680000000000003,0.0,0.0,0.005600000000000001,0.0,0.0
2019-02-17,0.01,0.0,0.017920000000000002,0.02,0.0,0.0,0.02857142857142857,0.0,0.03,0.0,0.00336,0.030303030303030304,0.0168,0.3469387755102041,0.0044800000000000005,0.0,0.0,0.0044800000000000005,0.0,0.0
2019-02-24,0.0,0.0011200000000000001,0.00672,0.01,0.0,0.0,0.04285714285714286,0.0,0.03,0.0,0.0044800000000000005,0.015151515151515152,0.01008,0.3673469387755102,0.0044800000000000005,0.0,0.0,0.0022400000000000002,0.01,0.0
2019-03-03,0.01,0.0011200000000000001,0.005600000000000001,0.02,0.0012431999999999999,0.0,0.04285714285714286,0.0,0.03,0.0,0.00336,0.015151515151515152,0.01344,0.3673469387755102,0.01008,0.0,0.0,0.00336,0.0,0.0
2019-03-10,0.01,0.0044800000000000005,0.00336,0.01,0.0,0.0,0.04285714285714286,0.0,0.02,0.0,0.00672,0.015151515151515152,0.015680000000000003,0.32653061224489793,0.008960000000000001,0.0012431999999999999,0.0,0.0044800000000000005,0.0,0.0
